,Completion_rate,Tuition_in_state,Tuition_out_state,Faculty_salary,Pell_grant_rate,SAT_average,ACT_50thPercentile,pct_White,pct_Black,pct_Hispanic,pct_Asian,Parents_middlesch,Parents_highsch,Parents_college
25,0.7793,31560,31560,9246,0.2883,1074,24,0.4131,0.0694,0.0644,0.2345,0.038908246,0.265969803,0.695121951
26,0.4867,34380,34380,7055,0.3577,954,21,0.4579,0.2062,0.112,0.0589,0.02233677,0.295532646,0.682130584
27,0.353,8196,11856,6762,0.5008,989,21,0.6414,0.2736,0.0312,0.008,0.01743462,0.403486924,0.579078456
28,0.3712,8145,22365,7416,0.3831,1029,23,0.6026,0.0278,0.111,0.0197,0.032359081,0.35908142,0.608559499
29,0.6803,48791,48791,10690,0.2112,1214,28,0.5426,0.066,0.058,0.1414,0.02115319,0.266461958,0.712384852
30,0.8994,51245,51245,12627,0.1787,1377,31,0.4618,0.0539,0.0781,0.1309,0.023980815,0.139088729,0.836930456
31,0.5507,28030,28030,6019,0.338,1053,23,0.716,0.0949,0.0772,0.0082,0.021828104,0.34106412,0.637107776
32,0.4658,12046,12046,6613,0.4133,1010,22,0.5975,0.1811,0.1029,0.0305,0.046583851,0.427018634,0.526397516
33,0.6537,22734,22734,6425,0.3184,1144,25,0.8017,0.0209,0.0525,0.009,0.026548673,0.297566372,0.675884956
34,0.3623,6903,20057,6237,0.357,1029,22,0.5708,0.2273,0.0455,0.0168,0.018930041,0.363786008,0.617283951
35,0.4739,8206,19867,7957,0.4217,903,18,0.6112,0.0893,0.1734,0.03,0.051706308,0.395380903,0.552912789
36,0.6193,32404,32404,8018,0.2395,1119,25,0.7131,0.0191,0.1007,0.0291,0.015810277,0.252964427,0.731225296
37,0.4534,6355,17515,8879,0.6773,874,18,0.0714,0.0423,0.6256,0.1526,0.180166968,0.418772563,0.401060469
38,0.6274,29770,29770,6819,0.4274,1029,22,0.4076,0.0633,0.4435,0.0307,0.105960265,0.367549669,0.526490066
39,0.6246,27830,27830,9078,0.3161,1070,23,0.6554,0.0697,0.182,0.0328,0.044347826,0.333043478,0.622608696
40,0.5489,39697,39697,11763,0.3437,1054,23,0.501,0.1057,0.1493,0.0872,0.020763187,0.272446689,0.706790124
41,0.4689,26100,26100,6329,0.382,994,22,0.5762,0.0944,0.0164,0.0094,0.028477547,0.414019715,0.557502738
42,0.5478,6610,20520,9880,0.2983,1081,24,0.624,0.037,0.1784,0.0685,0.037309687,0.346662205,0.616028108
43,0.7004,8079,27409,10844,0.1883,1164,26,0.6823,0.0296,0.0647,0.0311,0.012646307,0.209336742,0.778016951
44,0.7718,44076,44076,9545,0.2081,1209,27,0.6167,0.0199,0.1145,0.0811,0.01462766,0.171542553,0.813829787
45,0.4407,21790,21790,5248,0.2158,1001,22,0.7673,0.1041,0.0327,0.0105,0.016949153,0.373773417,0.609277431
46,0.3894,8423,19776,7489,0.4075,990,21,0.7251,0.1117,0.0342,0.0071,0.008040201,0.378140704,0.613819096
47,0.2914,7182,12774,7079,0.7115,823,17,0.0279,0.9501,0.0089,0.0022,0.011246064,0.376068376,0.61268556
48,0.9369,48710,48710,10951,0.1229,1453,33,0.4128,0.0594,0.1257,0.2221,0.014035088,0.103258145,0.882706767
49,0.302,15714,15714,3935,0.607,930,20,0.507,0.3701,0.0138,0.0051,0.043712745,0.50156117,0.454726086
50,0.5083,22950,22950,6425,0.3478,1007,22,0.8085,0.0604,0.0404,0.0233,0.023508137,0.444846293,0.53164557
51,0.4426,8544,24662,8052,0.3471,1088,24,0.7663,0.1067,0.0376,0.0209,0.016732026,0.276601307,0.706666667
52,0.6281,38072,38072,9364,0.2929,1145,25,0.5079,0.0993,0.1901,0.0944,0.023839398,0.247176913,0.728983689
53,0.3779,27250,27250,6080,0.3782,959,21,0.4572,0.1053,0.0753,0.012,0.026771654,0.371653543,0.601574803
54,0.3693,27300,27300,7993,0.4558,1038,22,0.4495,0.1799,0.2349,0.05,0.051763368,0.313424346,0.634812287
55,0.5414,11700,11700,5180,0.6454,1071,24,0.5984,0.3136,0.0171,0.0112,0.026845638,0.331096197,0.642058166
56,0.3524,6971,17538,7393,0.4873,886,19,0.0227,0.8885,0.0276,0.0141,0.021961933,0.36749634,0.610541728
57,0.4964,6800,21391,8381,0.2938,1128,25,0.8506,0.0066,0.0323,0.0091,0.009314308,0.232065002,0.75862069
58,0.4954,23696,23696,5577,0.4113,1064,23,0.8395,0.0912,0.0142,0.0047,0.013118063,0.341069627,0.645812311
59,0.3833,17300,17300,6231,0.5005,915,19,0.4724,0.3363,0.0363,0.0114,0.035856574,0.402888446,0.56125498
60,0.4249,27830,27830,6726,0.3904,961,21,0.5134,0.2035,0.0714,0.0134,0.019093079,0.311058075,0.669848847
61,0.5517,35130,35130,8341,0.4561,886,20,0.2543,0.1515,0.3981,0.0915,0.052333805,0.357850071,0.589816125
62,0.7505,32400,32400,9741,0.2699,1148,26,0.5856,0.0217,0.2287,0.051,0.018735363,0.241217799,0.740046838
63,0.4183,9125,20837,8557,0.4573,1011,22,0.4893,0.3744,0.047,0.0316,0.024462449,0.343097538,0.632440013
64,0.3562,5437,13551,6754,0.3496,1030,22,0.5982,0.0888,0.074,0.0317,0.030343448,0.357285762,0.61237079
65,0.7005,13077,19861,9069,0.3649,1052,22,0.6999,0.0709,0.1213,0.0607,0.02120244,0.382805693,0.595991868
66,0.7764,38205,38205,9148,0.2083,1183,27,0.4458,0.0251,0.0911,0.1592,0.019977169,0.179794521,0.800228311
67,0.4545,6256,18184,7852,0.2974,1193,26,0.5587,0.0236,0.2754,0.0262,0.025547445,0.270072993,0.704379562
68,0.6677,40296,40296,8954,0.3551,1043,23,0.3537,0.0454,0.424,0.089,0.054274084,0.31614654,0.629579376
69,0.3985,38750,38750,11474,0.3186,1018,22,0.2895,0.0625,0.2219,0.0982,0.047337278,0.328402367,0.624260355
70,0.398,21395,21395,5418,0.5727,854,20,0.0987,0.5646,0.119,0.0684,0.051948052,0.298701299,0.649350649
71,0.3455,28300,28300,5379,0.3507,942,20,0.5835,0.2596,0.0473,0.012,0.014755959,0.314415437,0.670828604
72,0.6717,37650,37650,7799,0.2476,1120,25,0.8498,0.0387,0.0263,0.0217,0.008532423,0.239761092,0.751706485
73,0.4522,10320,23660,7439,0.3921,996,21,0.6958,0.1987,0.0363,0.0066,0.008641743,0.294946459,0.696411798
74,0.5437,26730,26730,5226,0.4149,1029,22,0.7587,0.1053,0.0375,0.0076,0.022821577,0.328838174,0.648340249
75,0.3962,5192,15196,5779,0.7172,875,18,0.0485,0.9003,0.0132,0.0015,0.025595238,0.3375,0.636904762
76,0.7273,7737,17587,6971,0.3145,1124,25,0.6347,0.0571,0.1685,0.0574,0.025871766,0.288713911,0.685414323
77,0.7734,39560,39560,10655,0.1612,1282,29,0.5538,0.0408,0.2069,0.0615,0.021052632,0.152631579,0.82631579
78,0.5348,6887,23186,8470,0.2481,1126,25,0.8424,0.0066,0.0388,0.0094,0.006877284,0.226305609,0.766817107
79,0.9069,12972,35850,15194,0.3143,1382,32,0.2758,0.0209,0.1384,0.3509,0.065584416,0.268441558,0.665974026
80,0.4565,7546,23002,7029,0.4485,1011,22,0.6662,0.2066,0.0417,0.026,0.022896699,0.364749734,0.612353568
81,0.5688,22252,22252,5309,0.4207,981,21,0.6757,0.0721,0.0712,0.0027,0.042131351,0.41511772,0.542750929
82,0.5125,23748,23748,6505,0.3309,1026,22,0.6884,0.1118,0.088,0.0091,0.039929015,0.324755989,0.635314996
83,0.4932,6767,11823,6670,0.3491,1047,23,0.7863,0.0664,0.0371,0.0064,0.01162308,0.286841013,0.701535907
84,0.5689,27900,27900,6482,0.3333,1158,26,0.6591,0.104,0.1019,0.0124,0.027531957,0.305801377,0.666666667
85,0.1636,15456,15456,3186,0.4865,863,18,0.1623,0.1094,0.4925,0.0038,0.096875,0.371875,0.53125
86,0.2355,15060,15060,5134,0.3572,908,19,0.402,0.1667,0.2964,0.0193,0.067390063,0.38720731,0.545402627
87,0.5624,24905,24905,6255,0.5296,1185,26,0.7979,0.0448,0.0545,0.0107,0.025966184,0.388285024,0.585748792
88,0.2815,6690,13440,6861,0.338,990,21,0.6444,0.0435,0.0925,0.0208,0.031937173,0.37434555,0.593717278
89,0.4964,8057,14617,5905,0.5228,1016,21,0.761,0.1038,0.0711,0.0109,0.015483871,0.31655914,0.667956989
90,0.3216,7078,12670,7152,0.4192,1028,22,0.715,0.1384,0.0246,0.0038,0.022610075,0.352637842,0.624752083
91,0.5716,8750,14250,8185,0.2634,1050,23,0.8751,0.0225,0.0242,0.0191,0.007486323,0.221134466,0.771379211
92,0.5785,7181,16631,6733,0.3913,1110,24,0.793,0.0592,0.0876,0.0173,0.012997348,0.259151194,0.727851459
93,0.3773,7548,14796,7254,0.3944,1067,23,0.5738,0.2203,0.0295,0.0301,0.01618123,0.318076745,0.665742025
94,0.3532,29260,29260,6803,0.4021,984,21,0.4282,0.1218,0.3076,0.0303,0.056352459,0.320696721,0.62295082
95,0.366,5640,15360,5914,0.4934,995,21,0.5631,0.3939,0.0084,0.0075,0.046132009,0.349183818,0.604684173
96,0.3922,16204,16204,3436,0.3944,966,21,0.4294,0.2081,0.1066,0.0112,0.04617254,0.434993925,0.518833536
97,0.3482,7344,16560,5828,0.3776,901,19,0.7082,0.1693,0.0163,0.0059,0.019035533,0.465736041,0.515228426
98,0.4455,20486,20486,5517,0.4217,972,21,0.5277,0.1609,0.0225,0.0092,0.025679758,0.370090634,0.604229607
99,0.1986,7754,18056,6401,0.5757,907,19,0.2906,0.5695,0.0241,0.0078,0.038585209,0.361736334,0.599678457
100,0.8253,13054,30488,9907,0.1782,1259,29,0.836,0.0626,0.0259,0.0177,0.004585598,0.16627038,0.829144022
101,0.6834,8855,23935,11127,0.3341,1271,29,0.3621,0.0663,0.1111,0.2371,0.046186516,0.297292515,0.65652097
102,0.5992,19800,19800,4290,0.1238,960,21,0.7273,0.0666,0.0211,0.0016,0.033613445,0.445378151,0.521008403
103,0.4683,9105,22200,6444,0.4285,1001,21,0.6784,0.0364,0.0829,0.036,0.052724077,0.358963093,0.58831283
104,0.529,29333,29333,6639,0.415,980,21,0.6708,0.1865,0.0713,0.011,0.021374046,0.277862595,0.700763359
105,0.6101,32300,32300,6003,0.3297,1009,22,0.7094,0.1022,0.0804,0.0293,0.029900332,0.277408638,0.69269103
106,0.4273,27010,27010,5511,0.416,971,21,0.6253,0.1004,0.1165,0.0115,0.019710907,0.356110381,0.624178712
107,0.875,49248,49248,10885,0.202,1304,30,0.4887,0.0511,0.1562,0.1302,0.022222222,0.152136752,0.825641026
108,0.3291,29150,29150,5641,0.512,923,19,0.6112,0.2835,0.0359,0.0072,0.046688382,0.413680782,0.539630836
109,0.3706,26498,26498,5853,0.3988,1011,22,0.6785,0.1091,0.1239,0.0074,0.024449878,0.281173594,0.694376528
110,0.8412,46692,46692,11472,0.2114,1234,28,0.4496,0.0606,0.134,0.1302,0.015625,0.182904412,0.801470588
111,0.7039,6368,22467,9257,0.3858,1179,26,0.5325,0.1122,0.2404,0.0586,0.028621574,0.319877593,0.651500833
112,0.5307,30998,30998,8356,0.317,1006,22,0.5727,0.2664,0.0513,0.0289,0.019472362,0.31218593,0.668341709
113,0.7033,31250,31250,6520,0.2666,1069,24,0.7578,0.0479,0.0861,0.0225,0.023311897,0.34244373,0.634244373
114,0.4271,26910,26910,4449,0.3577,990,21,0.7834,0.0942,0.0314,0.0031,0.019512195,0.303325942,0.677161863
115,0.4882,16022,16022,6943,0.333,1043,23,0.5621,0.1337,0.0392,0.0054,0.015868818,0.329013489,0.655117694
116,0.43,7140,16728,7689,0.3991,959,21,0.6687,0.0834,0.1899,0.01,0.049408228,0.371594965,0.578996806
117,0.4652,5804,15915,8190,0.6142,870,18,0.1394,0.7415,0.0329,0.0067,0.019012945,0.334546926,0.646440129
118,0.4962,4831,17276,9234,0.3895,1047,23,0.4191,0.1993,0.2665,0.0404,0.040829623,0.346943208,0.612227169
119,0.2835,19330,19330,5100,0.414,943,20,0.6779,0.1442,0.0675,0.0052,0.026548673,0.329646018,0.64380531
120,0.7688,31385,31385,8863,0.2023,1122,25,0.8383,0.0421,0.0269,0.0185,0.004390779,0.178924259,0.816684962
121,0.4941,6752,20717,8068,0.3161,1115,24,0.8701,0.0071,0.0315,0.0103,0.008169617,0.241976269,0.749854114
122,0.5297,9348,20268,7855,0.35,1038,23,0.4906,0.0901,0.3461,0.0223,0.04007945,0.316237497,0.643683053
123,0.3983,19970,19970,4327,0.5109,1033,22,0.3848,0.4451,0.0555,0.0133,0.048293625,0.349645847,0.602060528
124,0.4288,6690,20600,9986,0.3351,1003,22,0.3836,0.0762,0.2315,0.1634,0.048606923,0.374502473,0.576890604
125,0.4146,10232,15618,7016,0.6275,862,19,0.014,0.8103,0.0152,0,0.013157895,0.361842105,0.625
126,0.6755,11646,21974,7985,0.1631,1152,25,0.7531,0.0806,0.0494,0.0246,0.007580175,0.193002916,0.79941691
127,0.5056,27530,27530,8359,0.3751,1025,22,0.5681,0.1838,0.0684,0.0206,0.02280285,0.312114014,0.665083135
128,0.5659,18240,18240,8887,0.2675,1054,23,0.8267,0.0484,0.0575,0.0167,0.00871348,0.31368529,0.67760123
129,0.7946,37162,37162,7899,0.1947,1155,26,0.8263,0.0315,0.0433,0.0294,0.015827338,0.122302158,0.861870504
130,0.138,5337,9982,5298,0.4093,950,20,0.7525,0.1522,0.0383,0.0126,0.043519395,0.442762536,0.51371807
131,0.4789,11413,20938,7455,0.3782,1068,23,0.6255,0.1561,0.0686,0.0375,0.024886878,0.325791855,0.649321267
132,0.4909,18500,18500,6088,0.5867,910,19,0.4435,0.3598,0.0606,0.0037,0.021420519,0.378804961,0.599774521
133,0.4283,8074,8074,8296,0.1591,1010,22,0.8318,0.0363,0.0379,0.0227,0.015055468,0.258320127,0.726624406
134,0.4175,5842,14210,9291,0.3489,969,21,0.9002,0.0433,0.0232,0.006,0.013504502,0.345115038,0.64138046
135,0.3461,11814,25254,9961,0.4649,1070,23,0.5691,0.1917,0.0469,0.0824,0.036190747,0.332529095,0.631280159
136,0.6127,28250,28250,11274,0.2831,1050,24,0.7271,0.0638,0.0233,0.011,0.008726004,0.291448517,0.69982548
137,0.3678,17650,17650,4790,0.5483,917,19,0.3989,0.4046,0.0357,0.0064,0.026284349,0.336917563,0.636798088
138,0.3009,7092,13884,6801,0.4428,1041,23,0.6834,0.2382,0.0132,0.0055,0.032104259,0.370629371,0.59726637
139,0.4867,9842,20612,9463,0.2949,1257,28,0.7148,0.1131,0.0411,0.0414,0.019823789,0.29030837,0.689867841
140,0.4345,20000,20000,5417,0.4437,1019,22,0.7987,0.0828,0.0233,0.0026,0.024582968,0.448639157,0.526777875
141,0.3145,30835,30835,6037,0.5706,881,18,0.5211,0.3396,0.0474,0.006,0.022321429,0.362723214,0.614955357
142,0.5049,21350,21350,6332,0.4699,968,21,0.7309,0.0918,0.0428,0.014,0.022696929,0.323097463,0.654205608
143,0.2433,7367,15356,6419,0.4116,970,21,0.6697,0.0907,0.1448,0.0345,0.042339833,0.367130919,0.590529248
144,0.5822,39560,39560,7845,0.3412,1104,25,0.6809,0.0948,0.082,0.05,0.017027864,0.311145511,0.671826625
145,0.5993,24728,24728,7135,0.4004,1086,24,0.7264,0.1873,0.0431,0.0063,0.041366112,0.435301045,0.523332843
146,0.6932,8863,19752,8028,0.255,1114,25,0.7534,0.0156,0.068,0.0641,0.016427492,0.244335347,0.73923716
147,0.7886,13200,34965,10802,0.227,1158,26,0.6813,0.0675,0.0384,0.0434,0.009476131,0.199624531,0.790899339
148,0.419,23800,23800,6520,0.5685,909,23,0.2189,0.3032,0.2861,0.0838,0.056167401,0.31938326,0.624449339
149,0.6897,37500,37500,7334,0.2033,1013,21,0.6821,0.1242,0.0907,0.028,0.012910798,0.215962441,0.771126761
150,0.4371,16720,16720,5147,0.5062,928,20,0.0059,0.8514,0.0234,0.0016,0.023602485,0.157763975,0.81863354
151,0.4027,10580,15788,6460,0.3913,1027,22,0.801,0.0124,0.0191,0.0057,0.012084592,0.319234643,0.668680765
152,0.4724,23300,23300,6144,0.5635,1030,22,0.624,0.0293,0.1367,0.0586,0.030503979,0.385941645,0.583554377
153,0.6723,41000,41000,7254,0.3125,1145,25,0.7271,0.0658,0.0899,0.0219,0.021806854,0.213395639,0.764797508
154,0.4193,7816,14714,8286,0.3245,1049,23,0.7773,0.0275,0.0269,0.0131,0.009850276,0.209613869,0.780535855
155,0.3271,13680,13680,4810,0.3548,911,20,0.4214,0.1685,0.279,0.018,0.070321152,0.38427464,0.545404208
156,0.397,29900,29900,6440,0.3486,971,21,0.5182,0.0762,0.0242,0.0058,0.035308953,0.395964691,0.568726356
157,0.5321,13624,24646,7053,0.2987,1027,23,0.8481,0.0398,0.0152,0.0159,0.00649278,0.203179223,0.790327997
158,0.8064,9830,34836,11172,0.2602,1296,29,0.4603,0.0413,0.2192,0.1895,0.03344962,0.220911143,0.745639237
159,0.7259,43680,43680,12430,0.2836,1251,28,0.3257,0.0585,0.1553,0.13,0.073202614,0.240522876,0.68627451
160,0.2671,5153,14915,6019,0.5781,939,20,0.2056,0.6498,0.0157,0.0448,0.039760837,0.376083707,0.584155456
161,0.5313,12655,16926,8706,0.4658,970,21,0.6011,0.2078,0.1162,0.0087,0.0316015,0.345474023,0.622924478
162,0.3014,6700,17778,6539,0.3439,950,20,0.8579,0.0602,0.0288,0.014,0.023338048,0.402404526,0.574257426
163,0.1104,9994,16954,7392,0.7078,875,18,0.0273,0.7518,0.0768,0.0055,0.070046698,0.354236157,0.575717145
164,0.7224,7932,17782,6597,0.3116,1082,24,0.7665,0.0375,0.1247,0.0233,0.017154812,0.240585774,0.742259414
165,0.387,26344,26344,4881,0.3493,943,20,0.6496,0.2215,0.0167,0.0156,0.018018018,0.384930385,0.597051597
166,0.7701,44178,44178,10495,0.1717,1249,28,0.6747,0.0241,0.0993,0.0439,0.022770399,0.162555345,0.814674257
167,0.5258,32270,32270,7018,0.4061,986,21,0.7025,0.1101,0.0858,0.0166,0.030247479,0.41979835,0.549954171
168,0.7776,41597,41597,10215,0.1979,1218,28,0.4672,0.0579,0.2192,0.107,0.02143878,0.173415912,0.805145307
169,0.5237,28910,28910,7070,0.3578,973,21,0.5383,0.0958,0.3211,0.0056,0.031626506,0.323795181,0.644578313
170,0.715,11091,34125,10687,0.1723,1212,27,0.7059,0.0164,0.1062,0.0542,0.02027845,0.176150121,0.803571429
171,0.5139,6610,20520,9233,0.2884,1081,24,0.646,0.0354,0.1631,0.0656,0.037702915,0.335137022,0.627160063
172,0.5027,14295,23761,7956,0.4452,1029,22,0.5718,0.1596,0.1542,0.0501,0.039707419,0.332586953,0.627705628
173,0.6226,6560,17720,9422,0.4627,1017,22,0.2041,0.0199,0.4186,0.2134,0.11536965,0.379085603,0.505544747
174,0.5871,6536,17696,8259,0.3762,1080,24,0.5785,0.0239,0.1561,0.0824,0.024122807,0.210526316,0.765350877
175,0.3506,37272,37272,7721,0.3948,1037,24,0.7063,0.0774,0.0856,0.0179,0.018281536,0.310786106,0.670932358
176,0.5819,14810,28390,7697,0.4051,1039,23,0.5772,0.3035,0.0505,0.0121,0.01559633,0.266513762,0.717889908
177,0.4575,22740,22740,4924,0.4818,989,22,0.7403,0.1609,0.0397,0.0116,0.012775842,0.362369338,0.62485482
178,0.8592,45874,45874,9067,0.1462,1247,28,0.6349,0.0359,0.0854,0.0578,0.019011407,0.108365019,0.872623574
179,0.5068,9519,21711,11173,0.3743,1152,26,0.2499,0.1011,0.3339,0.223,0.075294934,0.3296322,0.595072866
180,0.7613,16552,29532,11336,0.225,1104,25,0.8125,0.0119,0.0309,0.0212,0.005779392,0.180977543,0.813243065
181,0.4242,10196,20102,6936,0.4133,986,21,0.5801,0.2681,0.0429,0.0102,0.01483871,0.312258065,0.672903226
182,0.7507,37188,37188,9825,0.2871,1097,25,0.5621,0.0375,0.191,0.04,0.023104693,0.267870036,0.709025271
183,0.2036,16024,16024,5557,0.8344,723,15,0.0043,0.9087,0.0094,0.0009,0.018270402,0.378806334,0.602923264
184,0.7137,7736,20856,10513,0.2134,1142,25,0.7576,0.0269,0.0467,0.029,0.012960635,0.185027566,0.8020118
185,0.722,38120,38120,8985,0.2135,1227,27,0.6402,0.0733,0.1413,0.0625,0.0180018,0.178892889,0.803105311
186,0.7368,9381,24461,10307,0.3086,1173,27,0.477,0.0733,0.064,0.1427,0.027751196,0.255228982,0.717019822
187,0.6105,40920,40920,8018,0.3186,1120,26,0.6654,0.087,0.0862,0.0486,0.012886598,0.293814433,0.693298969
188,0.4194,26934,26934,5984,0.4271,1070,23,0.7844,0.0593,0.1085,0.0145,0.024017467,0.323144105,0.652838428
189,0.7086,10200,27384,9487,0.161,1215,27,0.8507,0.0704,0.0248,0.0227,0.006646972,0.176514033,0.816838996
190,0.5845,16180,16180,6244,0.304,1058,23,0.7387,0.0372,0.0965,0.0105,0.014589666,0.272948328,0.712462006
191,0.6207,7418,18578,10093,0.4265,1039,23,0.1783,0.0333,0.2645,0.3584,0.105556415,0.384924934,0.50951865
192,0.5138,23126,23126,6396,0.4042,1066,23,0.7122,0.087,0.0379,0.0118,0.032325339,0.325338895,0.642335766
193,0.4161,8756,29571,7713,0.3659,1013,22,0.7233,0.105,0.0532,0.0355,0.023665331,0.374732135,0.601602534
194,0.3845,10270,18801,9403,0.3461,1049,23,0.7462,0.1198,0.0254,0.0239,0.012697475,0.350952311,0.636350214
195,0.4035,6200,6200,6595,0.7646,872,18,0.0226,0.9365,0.004,0.0017,0.020539153,0.313863928,0.665596919
196,0.6657,10446,19410,8294,0.2339,1104,24,0.8324,0.0473,0.024,0.0091,0.019338352,0.373230196,0.607431452
197,0.3118,24860,24860,7244,0.6482,965,21,0.4047,0.3938,0.037,0.0048,0.043735474,0.499471794,0.456792732
198,0.7402,32920,32920,7596,0.3198,1084,24,0.7251,0.0454,0.1281,0.0465,0.024787535,0.303116147,0.672096317
199,0.5952,32098,32098,7107,0.3159,927,18,0.5698,0.1087,0.1248,0.0154,0.02020202,0.361952862,0.617845118
200,0.4769,9620,15020,7748,0.3738,1011,22,0.8498,0.0238,0.0324,0.0049,0.007160648,0.290161893,0.70267746
201,0.363,6297,16871,6073,0.4708,993,21,0.5063,0.3618,0.0496,0.0123,0.022126022,0.294372294,0.683501684
202,0.4967,29895,29895,7132,0.5169,934,20,0.148,0.0735,0.4323,0.1543,0.078139535,0.307906977,0.613953488
203,0.5141,26416,26416,6337,0.407,1045,23,0.8409,0.0842,0.0247,0.0074,0.021582734,0.334532374,0.643884892
204,0.5581,25866,25866,4355,0.296,1075,23,0.6992,0.0317,0.1342,0.0714,0.023088023,0.154401154,0.822510823
205,0.7295,41290,41290,9234,0.2497,1135,25,0.5061,0.0459,0.2605,0.0511,0.044174489,0.29707344,0.658752071
206,0.4343,22300,22300,4094,0.4803,1002,22,0.8094,0.0683,0.0234,0.0102,0.023076923,0.438461539,0.538461539
207,0.332,12550,12550,4845,0.3224,940,20,0.4317,0.1684,0.2671,0.0247,0.062528319,0.411871319,0.525600363
208,0.3933,21950,21950,4526,0.4391,978,21,0.689,0.1113,0.0942,0,0.022821577,0.300829876,0.676348548
209,0.7853,35062,35062,9007,0.1973,1165,27,0.8046,0.053,0.0331,0.0286,0.004424779,0.168543846,0.827031376
210,0.5269,11264,26286,8876,0.283,1165,26,0.7469,0.1117,0.0436,0.0359,0.01882764,0.285520186,0.695652174
211,0.3105,8004,18645,6417,0.4258,940,20,0.7453,0.0265,0.0687,0.0162,0.056709265,0.408146965,0.53514377
212,0.7147,39226,39226,9647,0.1287,1257,28,0.6804,0.0648,0.0481,0.0944,0.018272425,0.218023256,0.763704319
213,0.3929,22349,22349,8372,0.5329,1050,23,0.0358,0.7598,0.0363,0.1032,0.014729951,0.274140753,0.711129296
214,0.9307,43498,43498,15617,0.1825,1503,34,0.3707,0.053,0.1643,0.2404,0.022148394,0.171650055,0.80620155
215,0.4294,7528,15851,7644,0.3607,1089,24,0.6292,0.0564,0.1063,0.0718,0.037085515,0.318717278,0.644197208
216,0.3801,7655,16283,7563,0.4094,970,21,0.383,0.0554,0.4781,0.0223,0.042348832,0.360183366,0.597467802
217,0.8478,12204,32396,12149,0.1699,1403,32,0.5082,0.0667,0.066,0.1917,0.012798922,0.129336477,0.857864601
